%% Bodurov 2016
%ev	%n
1.79039278	2.471122568
1.796359026	2.471752035
1.802365169	2.472388442
1.80841161	2.473031895
1.814498756	2.4736825
1.820627019	2.474340365
1.826796817	2.475005602
1.833008575	2.475678324
1.839262721	2.476358646
1.84555969	2.477046685
1.851899925	2.477742562
1.858283873	2.478446399
1.864711987	2.479158319
1.871184727	2.479878452
1.877702559	2.480606926
1.884265957	2.481343874
1.8908754	2.482089431
1.897531374	2.482843735
1.904234373	2.483606926
1.910984895	2.484379149
1.917783449	2.48516055
1.92463055	2.485951278
1.931526718	2.486751486
1.938472483	2.487561331
1.945468382	2.488380971
1.952514961	2.48921057
1.959612771	2.490050294
1.966762373	2.490900311
1.973964337	2.491760796
1.981219239	2.492631926
1.988527666	2.493513882
1.995890212	2.494406849
2.003307481	2.495311015
2.010780084	2.496226575
2.018308644	2.497153725
2.025893791	2.498092667
2.033536165	2.499043608
2.041236418	2.500006759
2.048995207	2.500982335
2.056813205	2.501970558
2.064691091	2.502971654
2.072629555	2.503985853
2.0806293	2.505013391
2.088691038	2.506054511
2.096815491	2.50710946
2.105003396	2.508178492
2.113255497	2.509261865
2.121572553	2.510359846
2.129955334	2.511472706
2.138404622	2.512600723
2.146921212	2.513744182
2.155505911	2.514903376
2.164159539	2.516078604
2.17288293	2.517270172
2.181676931	2.518478394
2.190542403	2.519703592
2.19948022	2.520946095
2.208491272	2.522206243
2.217576462	2.523484381
2.22673671	2.524780866
2.235972949	2.526096062
2.245286128	2.527430342
2.254677214	2.528784092
2.264147188	2.530157703
2.273697047	2.531551581
2.283327808	2.532966139
2.293040503	2.534401804
2.302836181	2.535859013
2.312715911	2.537338213
2.322680779	2.538839867
2.332731891	2.540364447
2.34287037	2.541912439
2.353097362	2.543484344
2.36341403	2.545080675
2.373821558	2.546701959
2.384321154	2.548348739
2.394914043	2.550021574
2.405601475	2.551721037
2.41638472	2.553447719
2.427265074	2.555202226
2.438243854	2.556985184
2.449322402	2.558797236
2.460502084	2.560639044
2.47178429	2.56251129
2.483170439	2.564414675
2.494661972	2.566349924
2.50626036	2.568317781
2.5179671	2.570319014
2.529783718	2.572354414
2.541711767	2.574424798
2.553752832	2.576531006
2.565908526	2.578673906
2.578180495	2.580854394
2.590570414	2.583073392
2.603079992	2.585331855
2.61571097	2.587630766
2.628465126	2.589971141
2.641344269	2.592354031
2.654350246	2.59478052
2.66748494	2.597251728
2.68075027	2.599768813
2.694148196	2.602332974
2.707680716	2.604945449
2.721349868	2.607607519
2.735157732	2.61032051
2.74910643	2.613085794
2.763198128	2.615904794
2.777435036	2.618778979
2.79181941	2.621709876
2.806353554	2.624699063
2.821039818	2.627748179
2.835880604	2.630858922
2.850878363	2.634033054
2.866035599	2.637272403
2.881354869	2.640578867
2.896838785	2.643954415
2.912490016	2.647401095
2.92831129	2.650921032
2.944305391	2.654516437
2.952016667	2.656263324
2.960475167	2.658189609
2.976823529	2.661942937
2.993353452	2.665778911
3.010067978	2.669700119
3.026970215	2.67370926
3.044063344	2.677809144
3.061350617	2.682002699
3.0996175	2.691457132
